iter	RMSE
185	77.52060157
186	77.504419
187	77.49694636
188	77.48744373
189	77.47471165
190	77.44374743
191	77.42369774
192	77.34568782
193	77.30738973
194	77.29530737
195	77.2815666
196	77.26799459
197	77.2312305
198	77.21841157
199	77.21556508
200	77.17556709
201	77.15036917
202	77.13795617
203	77.12586357
204	77.11419988
205	77.10282175
206	77.08132416
207	77.0749921
208	77.04283572
209	77.03543018
210	77.02456649
211	77.01407761
212	76.98255125
213	76.97240222
214	76.94681534
215	76.93856103
216	76.92882979
217	76.92294411
218	76.91363248
219	76.88936525
220	76.88196129
221	76.87879428
222	76.81975162
223	76.76403954
224	76.71080569
225	76.70056462
226	76.69078624
227	76.68157449
228	76.67280728
229	76.66424325
230	76.66112363
231	76.64215166
232	76.6337996
233	76.62580066
234	76.62266205
235	76.61512018
236	76.56450516
237	76.5570594
238	76.55350626
239	76.54633032
240	76.53934701
241	76.53660893
242	76.52987507
243	76.52331325
244	76.52073356
245	76.51822822
246	76.46913241
247	76.4229591
248	76.4095756
249	76.35930562
250	76.31542704
251	76.30720291
252	76.30408449
253	76.25555668
254	76.24736288
255	76.24494411
256	76.23699364
257	76.2293067
258	76.22155903
259	76.21431615
260	76.20702388
261	76.20020776
262	76.19352919
263	76.18705489
264	76.18077671
265	76.17448198
266	76.16857559
267	76.16267014
268	76.15710965
269	76.15154761
270	76.14541895
271	76.14017752
272	76.13509643
273	76.12656339
274	76.1229785
275	76.11807944
276	76.11332205
277	76.11095432
278	76.10634205
279	76.10189437
280	76.09755703
281	76.09335117
282	76.08927616
283	76.08532366
284	76.08148581
285	76.07778351
286	76.07417528
287	76.07169171
288	76.06819203
289	76.06065707
290	76.05025661
291	76.04371142
292	76.00190042
293	75.99189788
294	75.94461867
295	75.94128314
296	75.93534649
297	75.92767607
298	75.9241121
299	75.92087799
300	75.87409082
301	75.86856705
302	75.865216
303	75.85554474
304	75.84772633
305	75.84459252
306	75.79847846
307	75.76440768
308	75.76137004
309	75.75434685
310	75.74852718
311	75.74548117
312	75.70699959
313	75.69458994
314	75.65204612
315	75.61383337
316	75.60896767
317	75.58881928
318	75.57177212
319	75.56884489
320	75.55357677
321	75.55073672
322	75.54798148
323	75.49285079
324	75.4865486
325	75.47466553
326	75.43459201
327	75.39539381
328	75.35703507
329	75.3382659
330	75.33261084
331	75.29506121
332	75.25828884
333	75.22226531
334	75.18696433
335	75.15236145
336	75.11619842
337	75.09866443
338	75.08615811
339	75.07472719
340	75.06929388
341	75.06606448
342	75.03707375
343	75.02997649
344	74.99653887
345	74.96375216
346	74.95968853
347	74.92752865
348	74.89908931
349	74.87040824
350	74.83921579
351	74.83523457
352	74.80463057
353	74.79585509
354	74.7911833
355	74.78153453
356	74.77609816
357	74.76504647
358	74.73506703
359	74.70564205
360	74.67675697
361	74.64839799
362	74.620552
363	74.59320651
364	74.57775254
365	74.56258336
366	74.55739656
367	74.54250266
368	74.52787667
369	74.51351112
370	74.49871926
371	74.49485552
372	74.46694664
373	74.45306578
374	74.44845421
375	74.43481353
376	74.42141028
377	74.39405732
378	74.39031184
379	74.36348777
380	74.35033382
381	74.33740574
382	74.32019599
383	74.31557403
384	74.30481602
385	74.25557312
386	74.24301024
387	74.23066271
388	74.2185257
389	74.20659462
390	74.20230931
391	74.19467772
392	74.18689189
393	74.16056211
394	74.15694777
395	74.13025663
396	74.12789407
397	74.11911474
398	74.11012339
399	74.10483496
400	74.05377952
401	74.05001781
402	74.00446532
403	74.00214238
404	74.00030891
405	73.99449412
406	73.99016267
407	73.945672
408	73.94147011
409	73.93739171
410	73.93392497
411	73.92767355
412	73.91097157
413	73.90868382
414	73.90457897
415	73.85435647
416	73.84922107
417	73.834751
418	73.83300315
419	73.82851652
420	73.8268208
421	73.82403042
422	73.81249508
423	73.81082649
424	73.80693072
425	73.80314134
426	73.79945231
427	73.78942149
428	73.76028924
429	73.74893078
430	73.73776718
431	73.73417064
432	73.73066441
433	73.71968429
434	73.70889113
435	73.68362757
436	73.67301946
437	73.66672111
438	73.61723072
439	73.60679444
440	73.60453939
441	73.57723369
442	73.54900048
443	73.54563999
444	73.53537503
445	73.52528244
446	73.52170714
447	73.51178046
448	73.50201964
449	73.49854425
450	73.49527484
451	73.45783766
452	73.44997225
453	73.43455737
454	73.431211
455	73.42899265
456	73.42574241
457	73.41584983
458	73.41268963
459	73.40524561
460	73.40065194
461	73.37437029
462	73.34857087
463	73.32324093
464	73.29836842
465	73.27394194
466	73.24995069
467	73.24202878
468	73.23392612
469	73.23092374
470	73.2073509
471	73.1841941
472	73.17208227
473	73.14619366
474	73.14289128
475	73.13579053
476	73.11302565
477	73.10871081
478	73.10580571
479	73.10264723
480	73.09981418
481	73.09704916
482	73.07092638
483	73.06425973
484	73.06098559
485	73.05351502
486	73.05085675
487	73.04760907
488	73.03431128
489	73.03152936
490	73.02828927
491	73.0202373
492	73.01758539
493	73.01014704
494	72.99258362
495	72.98546003
496	72.9823798
497	72.96584092
498	72.94278014
499	72.93700298
500	72.92911641
501	72.90711346
502	72.88549376
503	72.86424902
504	72.8433713
505	72.83593714
506	72.81541417
507	72.79524387
508	72.77541906
509	72.75593281
510	72.74444342
511	72.73623393
512	72.70526985
513	72.69810006
514	72.67813264
515	72.65926322
516	72.63157761
517	72.60477468
518	72.5980155
519	72.57206054
520	72.56542577
521	72.55464903
522	72.52951052
523	72.50515364
524	72.48154849
525	72.45866698
526	72.45215989
527	72.42997471
528	72.40846173
529	72.40021454
530	72.39391579
531	72.38772659
532	72.36684894
533	72.34659828
534	72.3240526
535	72.30893661
536	72.30294935
537	72.29834459
538	72.28906682
539	72.26718645
540	72.24790856
541	72.234091
542	72.22830394
543	72.21848341
544	72.20858436
545	72.1873143
546	72.18171283
547	72.1722353
548	72.16672903
549	72.15371913
550	72.13750007
551	72.13440263
552	72.10282682
553	72.08751685
554	72.06748738
555	72.05601011
556	72.04682789
557	72.03708309
558	72.03209418
559	72.02059471
560	72.01101999
561	72.0086477
562	71.98482279
563	71.93512191
564	71.92462052
565	71.91988639
566	71.91653233
567	71.91037368
568	71.88720503
569	71.87832242
570	71.87633911
571	71.87011153
572	71.86153301
573	71.85602472
574	71.84773985
575	71.81828281
576	71.8157058
577	71.81351292
578	71.81158182
579	71.8094256
580	71.8071384
581	71.80180119
582	71.79379451
583	71.78435063
584	71.78084292
585	71.77310055
586	71.75866468
587	71.7556719
588	71.75344303
589	71.72407049
590	71.71433246
591	71.70526729
592	71.69681706
593	71.69252729
594	71.68919459
